iter	Passed	Remaining
0	148	148015
1	149	74465
2	150	49902
3	151	37627
4	152	30267
5	152	25343
6	154	21912
7	155	19277
8	156	17208
9	157	15552
10	157	14196
11	158	13067
12	159	12112
13	160	11304
14	161	10607
15	162	9986
16	163	9459
17	164	8991
18	166	8580
19	167	8220
20	170	7957
21	172	7654
22	173	7375
23	175	7128
24	177	6910
25	178	6694
26	180	6499
27	183	6373
28	185	6200
29	186	6036
30	188	5892
31	190	5758
32	191	5620
33	193	5488
34	194	5369
35	198	5303
36	199	5195
37	201	5091
38	204	5038
39	206	4953
40	207	4858
41	209	4789
42	212	4732
43	214	4656
44	217	4606
45	218	4534
46	220	4462
47	221	4397
48	223	4341
49	225	4288
50	230	4285
51	231	4226
52	233	4165
53	235	4132
54	237	4078
55	239	4041
56	244	4048
57	246	4007
58	248	3963
59	249	3914
60	251	3868
61	253	3841
62	256	3818
63	258	3786
64	260	3747
65	261	3706
66	263	3664
67	263	3616
68	265	3579
69	266	3545
70	268	3511
71	271	3503
72	273	3474
73	275	3442
74	276	3413
75	278	3382
76	279	3351
77	281	3322
78	282	3294
79	284	3275
80	287	3261
81	289	3240
82	291	3215
83	292	3191
84	293	3160
85	295	3137
86	296	3107
87	297	3083
88	299	3068
89	301	3052
90	303	3032
91	305	3011
92	306	2991
93	308	2974
94	310	2956
95	313	2948
96	315	2937
97	317	2920
98	319	2905
99	321	2890
100	323	2875
101	324	2853
102	326	2839
103	329	2839
104	331	2826
105	333	2811
106	335	2797
107	336	2780
108	338	2763
109	339	2750
110	341	2738
111	343	2727
112	345	2713
113	347	2699
114	348	2684
115	350	2667
116	351	2653
117	353	2641
118	354	2625
119	356	2612
120	358	2600
121	359	2588
122	360	2571
123	361	2556
124	362	2540
125	364	2525
126	365	2511
127	366	2495
128	367	2482
129	369	2472
130	372	2471
131	375	2467
132	377	2459
133	379	2454
134	383	2458
135	385	2448
136	389	2453
137	391	2443
138	392	2433
139	394	2425
140	396	2417
141	398	2406
142	399	2394
143	402	2394
144	404	2387
145	406	2376
146	408	2372
147	410	2360
148	411	2349
149	412	2337
150	414	2328
151	415	2319
152	418	2315
153	419	2306
154	422	2300
155	423	2291
156	424	2280
157	426	2271
158	427	2260
159	428	2251
160	430	2242
161	432	2236
162	434	2229
163	436	2223
164	437	2214
165	439	2205
166	440	2197
167	441	2188
168	443	2180
169	445	2174
170	447	2171
171	449	2164
172	451	2156
173	452	2148
174	453	2139
175	455	2131
176	456	2122
177	458	2115
178	460	2111
179	463	2113
180	464	2103
181	466	2096
182	468	2089
183	469	2082
184	471	2075
185	472	2067
186	474	2063
